,Player,Unique ID
722,Daniel Winnik\winnida01,723
723,Luke Witkowski\witkolu01,724
724,Miles Wood\woodmi01,725
725,Nail Yakupov\yakupna01,726
726,Keith Yandle\yandlke01,727
727,Pavel Zacha\zachapa01,728
728,Nikita Zadorov\zadorni01,729
729,Nikita Zaitsev\zaitsni01,730
730,Travis Zajac\zajactr01,731
731,Henrik Zetterberg\zettehe01,732
732,Mika Zibanejad\zibanmi01,733
733,Harry Zolnierczyk\zolniha01,734
734,Mats Zuccarello\zuccama01,735
735,Jason Zucker\zuckeja01,736
740,Sebastian Aho\ahose02,737
741,Mark Alt\altma01,738
743,Michael Amadio\amadimi01,739
745,Rasmus Andersson\anderra01,740
749,Victor Antipin\antipvi01,741
750,Darren Archibald\archida02,742
754,Zach Aston-Reese\astonza01,743
770,Mathew Barzal\barzama01,744
772,Ethan Bear\bearet01,745
784,Tyler Bertuzzi\bertuty01,746
787,Chris Bigras\bigrach01,747
789,Anders Bjork\bjorkan01,748
792,Sammy Blais\blaissa01,749
